fixed acidity,citric acid,residual sugar,chlorides,total sulfur dioxide,density,pH,sulphates,alcohol,quality,is_red,so2_ratio,volatile_acidity_ratio
7.4,0.03999999999999998,1.9,0.076,34.0,0.9978,3.51,0.56,9.4,5,1,0.3235294117647059,0.08851351351351351
7.8,0.03999999999999998,2.6,0.098,67.0,0.9968,3.2,0.68,9.8,5,1,0.373134328358209,0.08397435897435898
7.8,0.04,2.3,0.092,54.0,0.997,3.26,0.65,9.8,5,1,0.2777777777777778,0.08397435897435898
9.65,0.56,1.9,0.075,60.0,0.998,3.16,0.58,9.8,6,1,0.2833333333333333,0.029015544041450778
7.4,0.03999999999999998,1.9,0.076,34.0,0.9978,3.51,0.56,9.4,5,1,0.3235294117647059,0.08851351351351351
7.4,0.03999999999999998,1.8,0.075,40.0,0.9978,3.51,0.56,9.4,5,1,0.325,0.08851351351351351
7.9,0.06,1.6,0.069,59.0,0.9964,3.3,0.46,9.4,5,1,0.2542372881355932,0.07594936708860758
7.3,0.03999999999999998,1.2,0.065,21.0,0.9946,3.39,0.47,10.0,7,1,0.7142857142857143,0.08904109589041097
7.8,0.03999999999999998,2.0,0.073,18.0,0.9968,3.36,0.57,9.5,7,1,0.5,0.07435897435897436
7.5,0.36,6.1,0.071,102.0,0.9978,3.35,0.8,10.5,5,1,0.16666666666666666,0.06666666666666667
6.7,0.08,1.8,0.097,65.0,0.9959,3.28,0.54,9.2,5,1,0.23076923076923078,0.08656716417910447
7.5,0.36,6.1,0.071,102.0,0.9978,3.35,0.8,10.5,5,1,0.16666666666666666,0.06666666666666667
5.6,0.03999999999999998,1.6,0.089,59.0,0.9943,3.58,0.52,9.9,5,1,0.2711864406779661,0.10982142857142858
7.8,0.29,1.6,0.10550000000000001,29.0,0.9974,3.26,0.855,9.1,5,1,0.3103448275862069,0.0782051282051282
8.9,0.18,3.8,0.10550000000000001,145.0,0.9986,3.16,0.855,9.2,5,1,0.3586206896551724,0.0696629213483146
8.9,0.19,3.9,0.10550000000000001,148.0,0.9986,3.17,0.855,9.2,5,1,0.34459459459459457,0.0696629213483146
8.5,0.56,1.8,0.092,103.0,0.9969,3.3,0.75,10.5,7,1,0.33980582524271846,0.03294117647058824
8.1,0.28,1.7,0.10550000000000001,56.0,0.9968,3.11,0.855,9.3,5,1,0.2857142857142857,0.06913580246913581
7.4,0.08,4.4,0.086,29.0,0.9974,3.38,0.5,9.0,4,1,0.20689655172413793,0.07972972972972972
7.9,0.51,1.8,0.10550000000000001,56.0,0.9969,3.04,0.855,9.2,6,1,0.30357142857142855,0.04050632911392405
8.9,0.48,1.8,0.077,60.0,0.9968,3.39,0.53,9.4,6,1,0.48333333333333334,0.024719101123595506
